
Count Name                                                                     
    6 src/features/messages/analytics/components/AnalyticsCard.tsx             
    6 src/pages/modules/PubPage.tsx                                            
    6 src/pages/modules/EnvironnementPage.tsx                                  
    6 src/features/auth/components/RegisterForm.tsx                            
    6 src/components/ui/chart.tsx                                              
    6 src/features/network/components/NetworkCard.tsx                          
    6 src/features/community/components/CommunityCard.tsx                      
    6 app/sante/[id].tsx                                                       
    6 src/features/community/components/CommunityMentions.tsx                  
    6 src/features/sante/components/DoctorBooking.tsx                          
    6 src/features/community/components/CommunitySecurity.tsx                  
    6 src/features/restauration/components/menu/MenuItemCard.tsx               
    6 src/pages/modules/CreatorDashboardPage.tsx                               
    6 src/features/sante/components/HealthImageSelector.tsx                    
    6 src/features/restauration/create/shared/MediaUploader.tsx                
    6 src/pages/modules/ApprendrePage.tsx                                      
    6 src/features/marketplace/components/StickyPurchaseBar.tsx                
    6 src/features/marketplace/components/UploadVideoSheet.tsx                 
    6 src/features/restauration/components/detail/RestaurantMenuItem.tsx       
    5 src/features/transport/create/CreateCarRentalForm.tsx                    
    5 src/features/messages/contacts/components/ContactMessage.tsx             
    5 src/pages/CheckoutPage.tsx                                               
    5 src/features/messages/offline/services/offline.service.ts                
    5 src/features/restauration/dashboard/InventoryManagement.tsx              
    5 src/features/annonce/sheets/CreateAnnonceSheet.tsx                       
    5 src/features/restauration/create/steps/RestaurantMediaStep.tsx           
    5 src/features/messages/events/components/EventActions.tsx                 
    5 src/features/marketplace/components/MobileMoneyPayment.tsx               
    5 src/features/restauration/components/payment/CryptoPayment.tsx           
    5 src/features/auth/components/PhoneOTPInput.tsx                           
    5 src/features/voyages/components/booking/VoyageBookingSuccess.tsx         
    5 src/features/messages/locations/components/LocationMessage.tsx           
    5 src/features/marketplace/components/MarketplaceDashboard.tsx             
    5 src/features/transport/create/CreateBoatForm.tsx                         
    5 src/features/community/components/CommunityShorts.tsx                    
    5 src/features/publications/hooks/usePublicationActions.ts                 
    5 src/features/messages/analytics/components/AnalyticsPeriod.tsx           
    5 src/pages/modules/ServiceDetailPage.tsx                                  
    5 src/features/network/sheets/CreateNetworkSheet.tsx                       
    5 src/pages/home/_components/Stories.tsx                                   
    5 src/pages/modules/EmergencyPage.tsx                                      
    5 src/features/community/components/CommunityGallery.tsx                   
    5 src/pages/modules/MediaPage.tsx                                          
    5 src/pages/home/_components/SmartContextSuggestions.tsx                   
    5 src/features/hebergement/components/reviews/ReviewPhotos.tsx             
    5 src/pages/modules/HelpPage.tsx                                           
    5 src/pages/modules/SanteDetailPage.tsx                                    
    5 src/features/auth/hooks/usePhoneAuth.ts                                  
    5 src/pages/modules/LivraisonPage.tsx                                      
    5 src/pages/modules/JobsPage.tsx                                           
    5 src/features/community/components/CommunityGroupMembers.tsx              
    5 src/components/ui/carousel.tsx                                           
    5 src/pages/home/_components/OfflineBanner.tsx                             
    5 src/pages/home/_components/DailyBrief.tsx                                
    5 src/features/immo/components/PropertyMetrics.tsx                         
    5 src/pages/home/_components/AIPersonalizedSuggestion.tsx                  
    5 src/features/annonce/components/AnnonceFooter.tsx                        
    4 src/pages/modules/GroupesPage.tsx                                        
    4 src/features/messages/security/components/ConversationSecurity.tsx       
    4 src/features/messages/ai/components/SuggestedReply.tsx                   
    4 src/features/community/sheets/EventSheet.tsx                             
    4 src/features/sante/components/DoctorSymptomChecker.tsx                   
    4 src/features/messages/groups/components/CreateGroup.tsx                  
    4 src/features/marketplace/create/shared/TagsInput.tsx                     
    4 src/features/network/components/Profile/ProfileRecommendations.tsx       
    4 src/pages/modules/SOSPage.tsx                                            
    4 src/features/sante/components/DoctorBookingCalendar.tsx                  
    4 src/features/service/components/ServiceIdentity.tsx                      
    4 src/features/network/components/People/PeopleList.tsx                    
    4 src/features/marketplace/create/shared/MediaUploader.tsx                 
    4 src/pages/modules/PublicProfilePage.tsx                                  
    4 src/features/restauration/create/CreatePromotionForm.tsx                 
    4 src/features/community/components/CommunityComments.tsx                  
    4 src/features/community/components/CreatePost/PostLocation.tsx            
    4 src/features/creator-hub/components/ChallengeCard.tsx                    
    4 src/pages/modules/NotificationsPage.tsx                                  
    4 src/components/ui/calendar.tsx                                           
    4 src/features/community/components/CreatePost/PostEditor.tsx              
    4 src/pages/modules/MentoratPage.tsx                                       
    4 src/pages/modules/LicensesPage.tsx                                       
    4 src/features/restauration/dashboard/MenuManagement.tsx                   
    4 src/features/sante/components/DoctorImaging.tsx                          
    4 src/features/community/components/CommunityReports.tsx                   
    4 src/features/sante/components/DoctorConfirmation.tsx                     
    4 src/features/restauration/forms/PaymentForm.tsx                          
    4 src/features/messages/calls/components/IncomingCall.tsx                  
    4 src/features/messages/calls/components/MinimizedCall.tsx                 
    4 src/features/marketplace/components/Product360Viewer.tsx                 
